PvEstimate,PeriodEnd,Period
0,2023-10-01T16:30:00Z,PT30M
0,2023-10-01T16:00:00Z,PT30M
0,2023-10-01T15:30:00Z,PT30M
0,2023-10-01T15:00:00Z,PT30M
0,2023-10-01T14:30:00Z,PT30M
0,2023-10-01T14:00:00Z,PT30M
0,2023-10-01T13:30:00Z,PT30M
0,2023-10-01T13:00:00Z,PT30M
0,2023-10-01T12:30:00Z,PT30M
0,2023-10-01T12:00:00Z,PT30M
0,2023-10-01T11:30:00Z,PT30M
0,2023-10-01T11:00:00Z,PT30M
0,2023-10-01T10:30:00Z,PT30M
0,2023-10-01T10:00:00Z,PT30M
0,2023-10-01T09:30:00Z,PT30M
0,2023-10-01T09:00:00Z,PT30M
0,2023-10-01T08:30:00Z,PT30M
0,2023-10-01T08:00:00Z,PT30M
0,2023-10-01T07:30:00Z,PT30M
0,2023-10-01T07:00:00Z,PT30M
0.0049,2023-10-01T06:30:00Z,PT30M
0.0253,2023-10-01T06:00:00Z,PT30M
0.051,2023-10-01T05:30:00Z,PT30M
0.1316,2023-10-01T05:00:00Z,PT30M
0.2757,2023-10-01T04:30:00Z,PT30M
0.2916,2023-10-01T04:00:00Z,PT30M
0.2296,2023-10-01T03:30:00Z,PT30M
0.3127,2023-10-01T03:00:00Z,PT30M
0.7405,2023-10-01T02:30:00Z,PT30M
0.6602,2023-10-01T02:00:00Z,PT30M
1.0256,2023-10-01T01:30:00Z,PT30M
0.898,2023-10-01T01:00:00Z,PT30M
0.8153,2023-10-01T00:30:00Z,PT30M
1.1947,2023-10-01,PT30M
1.2875,2023-09-30T23:30:00Z,PT30M
0.8547,2023-09-30T23:00:00Z,PT30M
1.0136,2023-09-30T22:30:00Z,PT30M
1.2237,2023-09-30T22:00:00Z,PT30M
1.0006,2023-09-30T21:30:00Z,PT30M
0.889,2023-09-30T21:00:00Z,PT30M
0.5193,2023-09-30T20:30:00Z,PT30M
0.4721,2023-09-30T20:00:00Z,PT30M
0.2334,2023-09-30T19:30:00Z,PT30M
0.0824,2023-09-30T19:00:00Z,PT30M
0.0168,2023-09-30T18:30:00Z,PT30M
0,2023-09-30T18:00:00Z,PT30M
0,2023-09-30T17:30:00Z,PT30M
0,2023-09-30T17:00:00Z,PT30M
0,2023-09-30T16:30:00Z,PT30M
0,2023-09-30T16:00:00Z,PT30M
0,2023-09-30T15:30:00Z,PT30M
0,2023-09-30T15:00:00Z,PT30M
0,2023-09-30T14:30:00Z,PT30M
0,2023-09-30T14:00:00Z,PT30M
0,2023-09-30T13:30:00Z,PT30M
0,2023-09-30T13:00:00Z,PT30M
0,2023-09-30T12:30:00Z,PT30M
0,2023-09-30T12:00:00Z,PT30M
0,2023-09-30T11:30:00Z,PT30M
0,2023-09-30T11:00:00Z,PT30M
0,2023-09-30T10:30:00Z,PT30M
0,2023-09-30T10:00:00Z,PT30M
0,2023-09-30T09:30:00Z,PT30M
0,2023-09-30T09:00:00Z,PT30M
0,2023-09-30T08:30:00Z,PT30M
0,2023-09-30T08:00:00Z,PT30M
0,2023-09-30T07:30:00Z,PT30M
0,2023-09-30T07:00:00Z,PT30M
0.008,2023-09-30T06:30:00Z,PT30M
0.0422,2023-09-30T06:00:00Z,PT30M
0.1633,2023-09-30T05:30:00Z,PT30M
0.3175,2023-09-30T05:00:00Z,PT30M
0.3318,2023-09-30T04:30:00Z,PT30M
0.4545,2023-09-30T04:00:00Z,PT30M
0.755,2023-09-30T03:30:00Z,PT30M
0.795,2023-09-30T03:00:00Z,PT30M
1.0371,2023-09-30T02:30:00Z,PT30M
0.9455,2023-09-30T02:00:00Z,PT30M
1.0179,2023-09-30T01:30:00Z,PT30M
1.3545,2023-09-30T01:00:00Z,PT30M
0.7985,2023-09-30T00:30:00Z,PT30M
0.6847,2023-09-30,PT30M
0.3493,2023-09-29T23:30:00Z,PT30M
0.7141,2023-09-29T23:00:00Z,PT30M
0.6027,2023-09-29T22:30:00Z,PT30M
0.6874,2023-09-29T22:00:00Z,PT30M
1.1611,2023-09-29T21:30:00Z,PT30M
0.5243,2023-09-29T21:00:00Z,PT30M
0.3296,2023-09-29T20:30:00Z,PT30M
0.3246,2023-09-29T20:00:00Z,PT30M
0.2019,2023-09-29T19:30:00Z,PT30M
0.1167,2023-09-29T19:00:00Z,PT30M
0.0079,2023-09-29T18:30:00Z,PT30M
0,2023-09-29T18:00:00Z,PT30M
0,2023-09-29T17:30:00Z,PT30M
0,2023-09-29T17:00:00Z,PT30M
0,2023-09-29T16:30:00Z,PT30M
